"id","nome","categoria","site_oficial","github","demo","download_ou_fonte","licenca_comercial","custo","compatibilidade","manutencao","consulta","dificuldade","performance","acessibilidade","aplicacao_hood","recomendacao","selecao","verificacao","fontes"
"R01","CSS + Intersection Observer + reduced motion","APIs nativas / técnica","https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API","Não se aplica: recurso do navegador","https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API","Não se aplica: nenhuma biblioteca para baixar","Uso das APIs não exige licença de biblioteca; não redistribuir exemplos/documentação sem verificar sua licença.","Gratuito; custo de implementação e teste.","React 18/TS/Vite 5/Tailwind 3: usar efeitos com limpeza e CSS existente; conferir suporte nos navegadores-alvo.","Documentação MDN disponível; compatibilidade por navegador, sem versão de pacote.","2026-09-10","Baixa","Sem dependência adicional; animar opacity/transform. Efeitos de blur e listeners por item podem pesar.","Manter conteúdo acessível antes da animação; respeitar prefers-reduced-motion e foco visível.","ProductCard, CategoryFilter e FeaturesBanner: feedback de estado, hover e entrada discreta.","Adotar agora","Selecionado","Documentação pública consultada; integração não executada","https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API | https://developer.mozilla.org/en-US/docs/Web/CSS/Reference/At-rules/prefers-reduced-motion | https://developer.mozilla.org/en-US/docs/Web/CSS/Reference/Properties/position"
"R02","Radix Primitives — Dialog","Biblioteca de primitivas React","https://www.radix-ui.com/primitives/docs/components/dialog","https://github.com/radix-ui/primitives","https://www.radix-ui.com/primitives/docs/components/dialog","https://github.com/radix-ui/primitives","MIT; permite uso comercial preservando licença e aviso de copyright.","Gratuito; custo de migração e testes.","Manifesto de Dialog declara React/ReactDOM 18 entre os peers e tipos TS; sem dependência de Tailwind 4. Validar a versão publicada escolhida.","Mantido por WorkOS; manifesto consultado declara 1.1.23. Página de releases acessível, mas sem lista útil no extrator; data da última publicação não confirmada.","2026-09-10","Média","Adiciona dependências para foco, portal e bloqueio de rolagem; importar apenas a primitiva necessária.","Oferece gerenciamento de foco e teclado; título, descrição e retorno ao acionador ainda precisam ser configurados e testados.","ActiveCartDrawer, ReservationsModal e CheckoutSuccessModal: criar um padrão de diálogo sem mudar ações do StoreContext.","Adotar agora","Selecionado","Documentação pública consultada; integração não executada","https://www.radix-ui.com/primitives/docs/components/dialog | https://raw.githubusercontent.com/radix-ui/primitives/main/packages/react/dialog/package.json | https://raw.githubusercontent.com/radix-ui/primitives/main/LICENSE"
"R03","GSAP + ScrollTrigger + @gsap/react","Biblioteca de animação e integração React","https://gsap.com/docs/v3/Plugins/ScrollTrigger/","https://github.com/greensock/GSAP","https://demos.gsap.com/","https://github.com/greensock/GSAP","Licença própria GSAP Standard No Charge: uso comercial permitido; restringe ferramentas visuais concorrentes das capacidades de animação do Webflow. Não é MIT.","Gratuito para usos permitidos, inclusive plugins; custo de engenharia e validação.","@gsap/react 2.1.2 declara React >=17 e GSAP ^3.12.5. Compatível em princípio com React 18 e Vite; sem instalação/teste neste projeto.","Documentação oficial ativa; manifesto do adaptador 2.1.2 consultado. Última data de release do núcleo não confirmada.","2026-09-10","Média","Carregar apenas onde necessário; um efeito coordenado, sem biblioteca concorrente de movimento. Medir bundle, frames e desmontagem.","Usar rolagem nativa, conteúdo estático no modo de movimento reduzido, sem prender teclado ou atrasar CTA.","Hero e seção de coleção antes do ProductCatalog: parallax sutil e narrativa curta; não aplicar ao PDV.","Experimentar depois","Selecionado","Documentação pública consultada; integração não executada","https://gsap.com/community/standard-license/ | https://github.com/greensock/react | https://raw.githubusercontent.com/greensock/react/main/package.json | https://gsap.com/docs/v3/Plugins/ScrollTrigger/"
"R04","Lucide React — manter o existente","Biblioteca de ícones","https://lucide.dev/guide/react","https://github.com/lucide-icons/lucide","https://lucide.dev/guide/react","https://github.com/lucide-icons/lucide/releases","ISC; preservar os avisos de licença, inclusive os relativos à origem Feather quando aplicáveis.","Gratuito; já presente no HOOD.","Projeto usa lucide-react ^0.460.0. A documentação atual é v1 e inclui migração: conservar a linha atual nesta melhoria; não copiar APIs novas sem conferir.","Releases do repositório incluem 1.43.0 em 08/09 e atividade em 10/09; isto não é uma recomendação de atualizar a versão instalada.","2026-09-10","Baixa","Reutilizar imports nomeados; não incluir uma segunda família de ícones ou catálogo dinâmico completo.","Ícones decorativos devem ser ignorados por leitores de tela; botões só com ícone precisam de nome acessível.","Navbar, quantidade/remover no carrinho e métodos do PDV: normalizar tamanho, traço e rótulos.","Adotar agora","Selecionado","Documentação pública consultada; integração não executada","https://lucide.dev/license | https://lucide.dev/guide/react | https://github.com/lucide-icons/lucide/releases"
"R05","60fps.design","Galeria de interações e movimento","https://60fps.design/","Não identificado repositório oficial de componentes","https://60fps.design/","Não identificado download de componentes; biblioteca visual online","Serviço sujeito a termos próprios; gravações de apps não equivalem a código ou assets licenciados para o HOOD. Usar como referência, sem redistribuir.","Acesso público e assinatura PRO; preço exato não confirmado na extração.","Independente da stack: traduzir padrões para React/CSS, sem importar runtime.","Site acessível; termos atualizados em 02/08/2026. Isso comprova atualização do serviço, não qualidade técnica de cada referência.","2026-09-10","Baixa","Sem peso na aplicação se usado apenas para pesquisa; evitar reproduzir todos os efeitos observados.","Selecionar padrões de feedback e não copiar movimento excessivo; cada implementação precisa de alternativa estática.","Carrinho, filtro e fidelidade: observar confirmação, transições de estado e contadores legíveis.","Adotar agora","Selecionado","Documentação pública consultada; integração não executada","https://60fps.design/ | https://60fps.design/pro | https://60fps.design/terms"
"R06","21st.dev","Marketplace/galeria de componentes","https://21st.dev/","https://github.com/21st-dev","https://21st.dev/","https://21st.dev/ — obtenção por item, conforme acesso e licença","Licença deve ser confirmada em cada componente. Termos distinguem código de demos, previews e mídia; não há autorização geral para copiar a galeria.","Consulta gratuita; página de planos indica 2 cópias/instalações por dia no Free; Builder US$6/mês e Builder + AI US$15/mês, ambos na cobrança anual.","React/Tailwind é próximo da stack; verificar por item dependências, Tailwind 3 versus 4, APIs React 19 e convenções Next.js.","Blog oficial com publicação em 07/09/2026; manutenção do marketplace não garante a de cada componente.","2026-09-10","Média","Prefira layout simples; cards com shaders, vídeo ou engines adicionais podem aumentar muito o custo.","Aparência pronta não comprova semântica, teclado ou reduced motion; revisar tudo antes de incorporar.","Hero e apresentação de coleção: selecionar uma composição e reconstruir com tokens HOOD. Nenhum componente específico foi baixado ou aprovado.","Experimentar depois","Selecionado","Documentação pública consultada; integração não executada","https://21st.dev/ | https://21st.dev/plans | https://21st.dev/terms | https://21st.dev/blog | https://github.com/21st-dev"
"R07","Colors Palette Visualizer","Ferramenta de paleta","https://colors-visualizer.vercel.app/","Não identificado","https://colors-visualizer.vercel.app/","Exportação indicada no site; formatos e restrições não confirmados","Licença de código e condições de reutilização de layouts não identificadas; usar somente para explorar combinações próprias.","Página pública acessível; cobrança e limites não confirmados.","Independente da stack; transferir manualmente apenas decisões de cor para tokens existentes.","Site identifica Yacouri como criador; não expõe histórico de versões no conteúdo consultado.","2026-09-10","Baixa","Nenhum custo de runtime ao usar apenas como ferramenta de consulta.","Não substitui medição de contraste; validar texto e foco sobre fundos reais.","Comparar #00E5FF, #0A0D14, #131822 e tons de apoio antes de consolidar tailwind.config.js.","Adotar agora","Selecionado","Documentação pública consultada; integração não executada","https://colors-visualizer.vercel.app/ | https://www.w3.org/WAI/WCAG22/Understanding/contrast-minimum.html"
"R08","Three.js","Biblioteca 3D","https://threejs.org/","https://github.com/mrdoob/three.js","https://threejs.org/examples/","https://github.com/mrdoob/three.js/releases","MIT para a biblioteca; licença não cobre automaticamente modelos, texturas, marcas ou assets de exemplos.","Gratuito; produção/licenciamento de modelos e otimização podem ter custo.","Integração JS/TS possível com Vite; requer gestão de canvas, GPU e descarte. Versão deve ser pareada com eventual adaptador React.","Release r186 visível em 08/09/2026; não significa compatibilidade automática com Fiber 8.","2026-09-10","Alta","GPU, transferência de modelos/texturas, memória e bateria; medir em aparelho real. Sem assets 3D no projeto, retorno imediato baixo.","Imagem alternativa e informações textuais equivalentes; visualizador opcional por clique e sem giro automático com reduced motion.","Somente futuro visualizador de detalhes de um tênis, se houver modelo licenciado e necessidade de examinar solado/material.","Experimentar depois","Selecionado","Documentação pública consultada; integração não executada","https://threejs.org/ | https://threejs.org/examples/ | https://github.com/mrdoob/three.js/releases | https://raw.githubusercontent.com/mrdoob/three.js/dev/LICENSE"
"R09","React Three Fiber","Renderizador React para Three.js","https://github.com/pmndrs/react-three-fiber","https://github.com/pmndrs/react-three-fiber","https://github.com/pmndrs/react-three-fiber — exemplos no README","https://github.com/pmndrs/react-three-fiber/releases","MIT; manter avisos. Three.js e assets têm suas próprias licenças.","Gratuito; mesmo custo de criação/otimização dos assets 3D.","README oficial: Fiber 8 acompanha React 18, Fiber 9 acompanha React 19. Fixar linha 8 se conservar a stack e revisar peers de Three/Drei; matriz exata não testada.","Repositório e releases acessíveis; evolução na linha 9 não prova suporte ativo à linha 8. Data final de suporte da linha 8 não confirmada.","2026-09-10","Alta","É camada sobre Three.js, não substituto mais leve; combinar apenas se 3D for aprovado. Não adicionar Drei sem necessidade concreta.","Canvas não substitui descrição, controles de compra ou acesso por teclado; oferecer fallback estático.","Adaptador opcional de R08 para um visualizador isolado, carregado sob demanda; nenhum Canvas no PDV.","Experimentar depois","Selecionado","Documentação pública consultada; integração não executada","https://github.com/pmndrs/react-three-fiber | https://github.com/pmndrs/react-three-fiber/releases | https://raw.githubusercontent.com/pmndrs/react-three-fiber/master/LICENSE"
"R10","HyperFrames (HeyGen)","Framework de produção de vídeo","https://hyperframes.heygen.com/introduction","https://github.com/heygen-com/hyperframes","https://hyperframes.heygen.com/showcase","https://github.com/heygen-com/hyperframes/releases","Apache-2.0: uso comercial permitido, preservar licença/avisos e indicar alterações quando aplicável. Mídias usadas na composição exigem direitos próprios.","Framework aberto sem taxa por render declarada; computação, geração por IA e serviços externos podem custar.","Converte HTML em vídeo; ferramenta separada da aplicação, não biblioteca para animar componentes React. Renderização usa navegador e FFmpeg.","Releases incluem v0.8.32 em 08/09/2026; documentação e exemplos acessíveis.","2026-09-10","Média","Renderizar fora da loja. Se publicar vídeo, custo vira transferência/decodificação; usar poster e carregamento por intenção.","Legenda/transcrição quando houver informação falada, botão de reprodução e alternativa estática.","Campanha de lançamento ou vídeo de coleção para Hero; não inserir ferramenta de renderização no bundle da loja.","Experimentar depois","Selecionado","Documentação pública consultada; integração não executada","https://hyperframes.heygen.com/introduction | https://github.com/heygen-com/hyperframes | https://github.com/heygen-com/hyperframes/releases | https://raw.githubusercontent.com/heygen-com/hyperframes/main/LICENSE"
